Steps,Mean_Distance
50,6.2414548078978305
100,9.3985008686784
150,10.482944407852361
200,12.02978481431838
250,15.8029298541667
300,15.384227809214712
350,16.6616899260096
400,18.341606581963056
450,20.974395885581707
500,15.734549295010442
550,21.681340111817203
600,26.003406318268343
650,21.446045183614892
700,27.23291350925708
750,26.99712975352454
800,27.603347677698387
850,26.295071218963084
900,26.599259044769987
950,29.949443750622237
1000,24.827168754109056
1050,37.054401535185306
1100,25.72228570766371
1150,32.15467841988061
1200,25.190782226725563
1250,25.55417185994671
1300,31.057317290713343
1350,34.136690293678136
1400,32.887105028727845
1450,38.88215102405002
1500,35.63342834936736
1550,33.54657922043162
1600,38.85260038860339
1650,35.0614614197809
1700,37.045025902456146
1750,38.227306787105505
1800,33.975121249524975
1850,33.58736678561725
1900,38.31100710625405
1950,44.79592558598944
2000,38.237201095080806
2050,42.74438413572762
2100,39.14938208690603
2150,51.7257396480493
2200,45.072077256905075
2250,34.77620328869238
2300,43.043939857520996
2350,33.800643084788874
2400,40.92872813263613
2450,40.83749630006785
2500,44.06471606318462
